2013,1,28903
2013,2,32959
2013,3,25985
2013,4,33078
2013,5,28700
2013,6,35778
2013,7,27887
2013,8,32958
2013,9,27034
2013,10,37023
2013,11,28186
2013,12,35528
2013,13,34499
2013,14,23874
2013,15,30872
2013,16,22559
2013,17,28986
2013,18,30178
2013,19,24902
2013,20,29703
2013,21,21025
2013,22,29891
2013,23,29119
2013,24,24222
2013,25,28682
2013,26,25723
2013,27,32141
2013,28,24694
2013,29,30573
2013,30,23017
2013,31,31591
2013,32,22523
2013,33,28561
2013,34,22497
2013,35,30818
2013,36,23855
2013,37,31335
2013,38,23029
2013,39,26588
2013,40,23073
2013,41,32556
2013,42,20974
2013,43,26706
2013,44,26159
2013,45,31720
2013,46,24230
2013,47,30991
2013,48,29979
2013,49,36533
2013,50,27894
2013,51,46706
2013,52,24508
2014,1,29874
2014,2,30007
2014,3,23961
2014,4,30109
2014,5,25725
2014,6,31562
2014,7,24264
2014,8,29047
2014,9,25604
2014,10,30843
2014,11,23122
2014,12,28580
2014,13,22635
2014,14,30149
2014,15,23783
2014,16,31418
2014,17,18697
2014,18,29576
2014,19,31917
2014,20,22446
2014,21,28194
2014,22,22898
2014,23,32079
2014,24,21181
2014,25,26165
2014,26,22770
2014,27,30001
2014,28,24028
2014,29,29190
2014,30,23934
2014,31,30993
2014,32,29211
2014,33,23224
2014,34,26980
2014,35,21848
2014,36,28468
2014,37,21903
2014,38,25161
2014,39,20695
2014,40,25673
2014,41,29585
2014,42,22815
2014,43,27463
2014,44,26127
2014,45,30680
2014,46,28807
2014,47,26779
2014,48,38082
2014,49,39716
2014,50,31743
2014,51,47048
2014,52,27013
2015,1,10536
2015,2,27929
2015,3,28529
2015,4,22625
2015,5,30015
2015,6,29697
2015,7,24484
2015,8,26909
2015,9,25573
2015,10,31376
2015,11,23774
2015,12,27080
2015,13,23795
2015,14,33026
2015,15,19553
2015,16,27570
2015,17,20677
2015,18,28634
2015,19,29279
2015,20,19712
2015,21,27747
2015,22,22660
2015,23,26607
2015,24,23349
2015,25,27321
2015,26,21830
2015,27,31182
2015,28,23048
2015,29,28555
2015,30,23263
2015,31,26183
