date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,1
2007/3,1
2007/4,1
2007/5,1
2007/6,1
2007/7,1
2007/8,1
2007/9,1
2007/10,1
2007/11,1
2007/12,1
2008/1,1
2008/2,1
2008/3,1
2008/4,1
2008/5,1
2008/6,1
2008/7,1
2008/8,1
2008/9,1
2008/10,1
2008/11,1
2008/12,1
2009/1,1
2009/2,1
2009/3,1
2009/4,1
2009/5,1
2009/6,1
2009/7,1
2009/8,1
2009/9,1
2009/10,1
2009/11,1
2009/12,1
2010/1,1
2010/2,1
2010/3,1
2010/4,2
2010/5,8
2010/6,2
2010/7,5
2010/8,4
2010/9,7
2010/10,3
2010/11,6
2010/12,8
2011/1,7
2011/2,7
2011/3,11
2011/4,11
2011/5,4
2011/6,8
2011/7,10
2011/8,10
2011/9,11
2011/10,10
2011/11,11
2011/12,8
2012/1,14
2012/2,14
2012/3,9
2012/4,12
2012/5,12
2012/6,13
2012/7,22
2012/8,14
2012/9,10
2012/10,12
2012/11,7
2012/12,7
2013/1,13
2013/2,13
2013/3,18
2013/4,17
2013/5,22
2013/6,11
2013/7,21
2013/8,12
2013/9,13
2013/10,19
2013/11,13
2013/12,12
2014/1,21
2014/2,12
2014/3,15
2014/4,20
2014/5,16
2014/6,17
2014/7,18
2014/8,18
2014/9,15
2014/10,17
2014/11,11
2014/12,14
2015/1,4
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
