Year,Week_Num,Review_Count
2010,1,1
2010,2,1
2010,3,1
2010,4,1
2010,5,1
2010,6,1
2010,7,1
2010,8,1
2010,9,1
2010,10,1
2010,11,1
2010,12,1
2010,13,1
2010,14,1
2010,15,1
2010,16,1
2010,17,1
2010,18,1
2010,19,1
2010,20,1
2010,21,1
2010,22,1
2010,23,1
2010,24,1
2010,25,1
2010,26,1
2010,27,1
2010,28,1
2010,29,1
2010,30,1
2010,31,1
2010,32,1
2010,33,1
2010,34,1
2010,35,1
2010,36,1
2010,37,1
2010,38,1
2010,39,1
2010,40,1
2010,41,1
2010,42,1
2010,43,1
2010,44,1
2010,45,1
2010,46,2
2010,47,1
2010,48,1
2010,49,2
2010,50,15
2010,51,20
2010,52,9
2011,1,1
2011,2,15
2011,3,23
2011,4,17
2011,5,15
2011,6,13
2011,7,20
2011,8,17
2011,9,20
2011,10,15
2011,11,13
2011,12,15
2011,13,17
2011,14,13
2011,15,13
2011,16,9
2011,17,12
2011,18,14
2011,19,19
2011,20,5
2011,21,11
2011,22,12
2011,23,9
2011,24,15
2011,25,15
2011,26,13
2011,27,17
2011,28,17
2011,29,17
2011,30,14
2011,31,17
2011,32,15
2011,33,12
2011,34,12
2011,35,13
2011,36,15
2011,37,15
2011,38,16
2011,39,9
2011,40,11
2011,41,10
2011,42,8
2011,43,16
2011,44,10
2011,45,12
2011,46,17
2011,47,9
2011,48,12
2011,49,15
2011,50,21
2011,51,10
2011,52,18
2012,1,13
2012,2,16
2012,3,10
2012,4,14
2012,5,13
2012,6,7
2012,7,14
2012,8,14
2012,9,13
2012,10,8
2012,11,16
2012,12,10
2012,13,15
2012,14,12
2012,15,11
2012,16,13
2012,17,14
2012,18,7
2012,19,7
2012,20,11
2012,21,11
2012,22,19
2012,23,15
2012,24,16
2012,25,8
2012,26,14
2012,27,17
2012,28,12
2012,29,14
2012,30,11
2012,31,11
2012,32,12
2012,33,14
2012,34,13
2012,35,13
2012,36,15
2012,37,10
2012,38,12
2012,39,5
2012,40,8
2012,41,9
2012,42,8
2012,43,5
2012,44,5
2012,45,6
2012,46,6
2012,47,10
2012,48,6
2012,49,6
2012,50,6
2012,51,4
2012,52,9
2013,1,1
2013,2,11
2013,3,8
2013,4,15
2013,5,9
2013,6,12
2013,7,10
2013,8,14
2013,9,7
2013,10,8
2013,11,8
2013,12,7
2013,13,13
2013,14,9
2013,15,9
2013,16,6
2013,17,7
2013,18,7
2013,19,9
2013,20,17
2013,21,10
2013,22,11
2013,23,13
2013,24,5
2013,25,8
2013,26,14
2013,27,10
2013,28,8
2013,29,13
2013,30,15
2013,31,13
2013,32,13
2013,33,12
2013,34,14
2013,35,10
2013,36,10
2013,37,13
2013,38,8
2013,39,8
2013,40,10
2013,41,10
2013,42,10
2013,43,11
2013,44,10
2013,45,13
2013,46,15
2013,47,7
2013,48,13
2013,49,11
2013,50,11
2013,51,8
2013,52,17
2014,1,1
2014,2,14
2014,3,12
2014,4,14
2014,5,10
2014,6,10
2014,7,10
2014,8,7
2014,9,19
2014,10,12
2014,11,10
2014,12,9
2014,13,7
2014,14,7
2014,15,14
2014,16,7
2014,17,16
2014,18,10
2014,19,7
2014,20,12
2014,21,3
2014,22,10
2014,23,9
2014,24,9
2014,25,8
2014,26,12
2014,27,14
2014,28,16
2014,29,11
2014,30,10
2014,31,10
2014,32,9
2014,33,13
2014,34,13
2014,35,11
2014,36,14
2014,37,13
2014,38,8
2014,39,9
2014,40,7
2014,41,7
2014,42,12
2014,43,8
2014,44,7
2014,45,9
2014,46,6
2014,47,8
2014,48,8
2014,49,10
2014,50,10
2014,51,7
2014,52,9
2015,1,1
2015,2,8
2015,3,1
2015,4,1
2015,5,1
2015,6,1
2015,7,1
2015,8,1
2015,9,1
2015,10,1
2015,11,1
2015,12,1
2015,13,1
2015,14,1
2015,15,1
2015,16,1
2015,17,1
2015,18,1
2015,19,1
2015,20,1
2015,21,1
2015,22,1
2015,23,1
2015,24,1
2015,25,1
2015,26,1
2015,27,1
2015,28,1
2015,29,1
2015,30,1
2015,31,1
2015,32,1
2015,33,1
2015,34,1
2015,35,1
2015,36,1
2015,37,1
2015,38,1
2015,39,1
2015,40,1
2015,41,1
2015,42,1
2015,43,1
2015,44,1
2015,45,1
2015,46,1
2015,47,1
2015,48,1
2015,49,1
2015,50,1
2015,51,1
2015,52,1
2015,53,1
