Year,Week_Num,Review_Count
2012,1,4
2012,2,1
2012,3,1
2012,4,1
2012,5,1
2012,6,1
2012,7,1
2012,8,1
2012,9,1
2012,10,1
2012,11,1
2012,12,1
2012,13,1
2012,14,1
2012,15,1
2012,16,1
2012,17,1
2012,18,1
2012,19,1
2012,20,1
2012,21,1
2012,22,1
2012,23,1
2012,24,1
2012,25,1
2012,26,1
2012,27,1
2012,28,1
2012,29,1
2012,30,1
2012,31,1
2012,32,1
2012,33,1
2012,34,1
2012,35,1
2012,36,1
2012,37,20
2012,38,35
2012,39,23
2012,40,36
2012,41,29
2012,42,24
2012,43,17
2012,44,26
2012,45,17
2012,46,23
2012,47,16
2012,48,20
2012,49,22
2012,50,19
2012,51,15
2012,52,33
2013,1,1
2013,2,18
2013,3,33
2013,4,18
2013,5,20
2013,6,15
2013,7,18
2013,8,29
2013,9,17
2013,10,19
2013,11,23
2013,12,16
2013,13,20
2013,14,21
2013,15,23
2013,16,15
2013,17,11
2013,18,14
2013,19,14
2013,20,20
2013,21,15
2013,22,27
2013,23,31
2013,24,20
2013,25,21
2013,26,29
2013,27,29
2013,28,19
2013,29,15
2013,30,19
2013,31,23
2013,32,30
2013,33,24
2013,34,29
2013,35,30
2013,36,28
2013,37,23
2013,38,17
2013,39,14
2013,40,12
2013,41,15
2013,42,14
2013,43,17
2013,44,22
2013,45,15
2013,46,27
2013,47,23
2013,48,26
2013,49,21
2013,50,16
2013,51,26
2013,52,34
2014,1,1
2014,2,33
2014,3,17
2014,4,23
2014,5,20
2014,6,31
2014,7,18
2014,8,20
2014,9,37
2014,10,16
2014,11,18
2014,12,18
2014,13,25
2014,14,18
2014,15,22
2014,16,25
2014,17,22
2014,18,14
2014,19,17
2014,20,23
2014,21,19
2014,22,24
2014,23,18
2014,24,24
2014,25,30
2014,26,47
2014,27,26
2014,28,34
2014,29,23
2014,30,19
2014,31,27
2014,32,19
2014,33,32
2014,34,33
2014,35,21
2014,36,27
2014,37,23
2014,38,18
2014,39,34
2014,40,13
2014,41,29
2014,42,17
2014,43,26
2014,44,14
2014,45,23
2014,46,18
2014,47,19
2014,48,26
2014,49,20
2014,50,20
2014,51,31
2014,52,43
2015,1,1
2015,2,21
2015,3,1
2015,4,1
2015,5,1
2015,6,1
2015,7,1
2015,8,1
2015,9,1
2015,10,1
2015,11,1
2015,12,1
2015,13,1
2015,14,1
2015,15,1
2015,16,1
2015,17,1
2015,18,1
2015,19,1
2015,20,1
2015,21,1
2015,22,1
2015,23,1
2015,24,1
2015,25,1
2015,26,1
2015,27,1
2015,28,1
2015,29,1
2015,30,1
2015,31,1
2015,32,1
2015,33,1
2015,34,1
2015,35,1
2015,36,1
2015,37,1
2015,38,1
2015,39,1
2015,40,1
2015,41,1
2015,42,1
2015,43,1
2015,44,1
2015,45,1
2015,46,1
2015,47,1
2015,48,1
2015,49,1
2015,50,1
2015,51,1
2015,52,1
2015,53,1
